[23:23:01] Can't kekulize mol.  Unkekulized atoms: 3 9

[23:23:10] Can't kekulize mol.  Unkekulized atoms: 3 8

[23:23:11] Can't kekulize mol.  Unkekulized atoms: 3 10

[23:23:11] Can't kekulize mol.  Unkekulized atoms: 3 10

[23:23:13] Can't kekulize mol.  Unkekulized atoms: 3 8 11 13 15 17

[23:23:21] Can't kekulize mol.  Unkekulized atoms: 3 11 12 14 15 17

[23:23:23] Can't kekulize mol.  Unkekulized atoms: 3 4 5 6 7 9 10 11 12 14

[23:23:26] Can't kekulize mol.  Unkekulized atoms: 3 7

[23:23:26] Can't kekulize mol.  Unkekulized atoms: 3 7

[23:23:32] Can't kekulize mol.  Unkekulized atoms: 3 10

[23:23:56] Can't kekulize mol.  Unkekulized atoms: 3 7

[23:23:56] Can't kekulize mol.  Unkekulized atoms: 3 7

[23:24:00] Can't kekulize mol.  Unkekulized atoms: 3 5

[23:24:12] Can't kekulize mol.  Unkekulized atoms: 3 5

[23:24:17] Can't kekulize mol.  Unkekulized atoms: 3 9

[23:24:24] Can't kekulize mol.  Unkekulized atoms: 3 5

[23:24:27] Can't kekulize mol.  Unkekulized atoms: 0 1 2 4 5 10

[23:24:27] Can't kekulize mol.  Unkekulized atoms: 3 9

[23:24:27] Can't kekulize mol.  Unkekulized atoms: 3 9

[23:24:31] Can't kekulize mol.  Unkekulized atoms: 3 4 5 6 7 9 10 11 12 14

[23:24:31] Can't kekulize mol.  Unkekulized atoms: 3 12

[23:24:31] Can't kekulize mol.  Unkekulized atoms: 0 1 2 4 6 15

[05/10/20 23:24:35 standardiser.neutralise WARNING] zwitterion with more negative charges than quaternary positive centres detected
[23:24:36] Can't kekulize mol.  Unkekulized atoms: 3 8

[23:24:39] Can't kekulize mol.  Unkekulized atoms: 3 4 5 6 7 9 10 11 12 14

[23:24:41] Can't kekulize mol.  Unkekulized atoms: 3 7

[23:24:41] Can't kekulize mol.  Unkekulized atoms: 3 7

[23:24:52] Can't kekulize mol.  Unkekulized atoms: 3 8

[23:24:53] Can't kekulize mol.  Unkekulized atoms: 3 4 5 6 7 9 10 11 12 14

[23:24:55] Can't kekulize mol.  Unkekulized atoms: 3 7

[23:24:55] Can't kekulize mol.  Unkekulized atoms: 3 7

[23:24:57] Can't kekulize mol.  Unkekulized atoms: 3 8 11 13 15 17

[23:24:58] Can't kekulize mol.  Unkekulized atoms: 3 9

[23:24:58] Can't kekulize mol.  Unkekulized atoms: 3 9

[23:25:02] Can't kekulize mol.  Unkekulized atoms: 3 10

[23:25:02] Can't kekulize mol.  Unkekulized atoms: 3 10

[23:25:02] Can't kekulize mol.  Unkekulized atoms: 3 4 6 7 8 10 12 15

[23:25:05] Can't kekulize mol.  Unkekulized atoms: 0 2 4 5 6 9

[23:25:23] Can't kekulize mol.  Unkekulized atoms: 3 4 5 6 7 9 10 11 12 14

[23:25:42] Can't kekulize mol.  Unkekulized atoms: 3 11 12 14 15 17

[23:25:45] Can't kekulize mol.  Unkekulized atoms: 3 5

[23:25:47] Can't kekulize mol.  Unkekulized atoms: 3 4 5 6 8 9

[23:25:55] Can't kekulize mol.  Unkekulized atoms: 3 8

[23:25:58] Can't kekulize mol.  Unkekulized atoms: 2 5

[23:26:01] Can't kekulize mol.  Unkekulized atoms: 0 1 2 6 7 8 9 10 12 13

[23:26:04] Can't kekulize mol.  Unkekulized atoms: 3 10

[23:26:04] Can't kekulize mol.  Unkekulized atoms: 3 10

[23:26:06] Can't kekulize mol.  Unkekulized atoms: 3 13

[23:26:07] Can't kekulize mol.  Unkekulized atoms: 3 4 5 6 7 9 10 12 13 14

[23:26:07] Can't kekulize mol.  Unkekulized atoms: 0 1 2 4 6 15

[23:26:16] Can't kekulize mol.  Unkekulized atoms: 3 7

[23:26:16] Can't kekulize mol.  Unkekulized atoms: 3 7

[23:26:20] Can't kekulize mol.  Unkekulized atoms: 3 4 5 6 7 10

[23:26:34] Can't kekulize mol.  Unkekulized atoms: 3 11

[23:26:35] Can't kekulize mol.  Unkekulized atoms: 3 10

[23:26:35] Can't kekulize mol.  Unkekulized atoms: 3 10

[23:26:35] Can't kekulize mol.  Unkekulized atoms: 3 7

[23:26:54] Can't kekulize mol.  Unkekulized atoms: 3 4 5 6 7 9 10 11 12 14

[23:26:55] Can't kekulize mol.  Unkekulized atoms: 3 4 5 6 7 9 10 11 12 14

[05/10/20 23:27:01 standardiser.neutralise WARNING] zwitterion with more negative charges than quaternary positive centres detected
[23:27:11] Can't kekulize mol.  Unkekulized atoms: 3 10

[23:27:11] Can't kekulize mol.  Unkekulized atoms: 3 10

[23:27:15] Can't kekulize mol.  Unkekulized atoms: 3 5

[23:27:15] Can't kekulize mol.  Unkekulized atoms: 0 1 2 4 6 15

[23:27:22] Can't kekulize mol.  Unkekulized atoms: 0 1 2 4 5 11

[23:27:30] Can't kekulize mol.  Unkekulized atoms: 3 11

[23:27:31] Can't kekulize mol.  Unkekulized atoms: 3 4 5 6 7 9 10 11 12 14

[23:27:34] Can't kekulize mol.  Unkekulized atoms: 3 9

[23:27:34] Can't kekulize mol.  Unkekulized atoms: 3 9

[23:27:36] Can't kekulize mol.  Unkekulized atoms: 3 8 13 14 15 16 17 18

[23:27:39] Can't kekulize mol.  Unkekulized atoms: 3 9

[23:27:39] Can't kekulize mol.  Unkekulized atoms: 3 9

[23:27:40] Can't kekulize mol.  Unkekulized atoms: 3 8

[23:27:43] Can't kekulize mol.  Unkekulized atoms: 3 4 5 6 7 9 10 11 12 14

[23:27:47] Can't kekulize mol.  Unkekulized atoms: 3 9

[23:27:48] Can't kekulize mol.  Unkekulized atoms: 3 8 11 14 17 19

[23:27:52] Can't kekulize mol.  Unkekulized atoms: 3 9

[23:27:52] Can't kekulize mol.  Unkekulized atoms: 3 9

[05/10/20 23:27:57 standardiser.neutralise WARNING] zwitterion with more negative charges than quaternary positive centres detected
[23:27:59] Can't kekulize mol.  Unkekulized atoms: 3 4 5 6 7 9 10 11 12 14

[23:28:01] Can't kekulize mol.  Unkekulized atoms: 3 4 5 6 7 9 10 11 12 14

[23:28:06] Can't kekulize mol.  Unkekulized atoms: 3 11 12 14 15 17

[23:28:13] Can't kekulize mol.  Unkekulized atoms: 3 5 6 7 9 10

[23:28:16] Can't kekulize mol.  Unkekulized atoms: 3 4 5 6 7 9 10 11 12 14

[23:28:22] Can't kekulize mol.  Unkekulized atoms: 3 4 5 6 7 9 10 11 12 14

[23:28:24] Can't kekulize mol.  Unkekulized atoms: 2 5

[23:28:24] Can't kekulize mol.  Unkekulized atoms: 3 4 6 10 11 12

[23:28:25] Can't kekulize mol.  Unkekulized atoms: 3 8 11 13 14 15

[23:28:36] Can't kekulize mol.  Unkekulized atoms: 3 9

[23:28:38] Can't kekulize mol.  Unkekulized atoms: 3 8 11 13 15 17

[23:28:39] Can't kekulize mol.  Unkekulized atoms: 3 5

[23:28:40] Can't kekulize mol.  Unkekulized atoms: 3 7

[23:28:52] Can't kekulize mol.  Unkekulized atoms: 3 8 11 14 17 18

[23:29:08] Can't kekulize mol.  Unkekulized atoms: 2 5

[23:29:13] Can't kekulize mol.  Unkekulized atoms: 3 11 12 15

[23:29:17] Can't kekulize mol.  Unkekulized atoms: 3 9

[23:29:17] Can't kekulize mol.  Unkekulized atoms: 3 9

[23:29:18] Can't kekulize mol.  Unkekulized atoms: 3 9

[23:29:18] Can't kekulize mol.  Unkekulized atoms: 3 9

[23:29:24] Can't kekulize mol.  Unkekulized atoms: 3 9

[23:29:24] Can't kekulize mol.  Unkekulized atoms: 3 9

[23:29:33] Can't kekulize mol.  Unkekulized atoms: 3 8

[23:29:41] Can't kekulize mol.  Unkekulized atoms: 3 9

[23:29:41] Can't kekulize mol.  Unkekulized atoms: 3 9

[23:29:45] Can't kekulize mol.  Unkekulized atoms: 3 10

[23:29:45] Can't kekulize mol.  Unkekulized atoms: 3 10

[23:29:48] Can't kekulize mol.  Unkekulized atoms: 3 10 11 13 14 16

[23:29:54] Can't kekulize mol.  Unkekulized atoms: 3 5

[23:30:20] Can't kekulize mol.  Unkekulized atoms: 3 7

[23:30:20] Can't kekulize mol.  Unkekulized atoms: 3 7

[23:30:21] Can't kekulize mol.  Unkekulized atoms: 3 5

[23:30:22] Can't kekulize mol.  Unkekulized atoms: 3 7

[23:30:22] Can't kekulize mol.  Unkekulized atoms: 3 7

[23:30:41] Can't kekulize mol.  Unkekulized atoms: 3 4 5 6 7 9 10 11 12 14

[23:30:41] Can't kekulize mol.  Unkekulized atoms: 3 4 5 6 7 9 10 11 12 14

[05/10/20 23:30:53 standardiser.neutralise WARNING] zwitterion with more negative charges than quaternary positive centres detected
